"Yes","Sim"
"No","Não"
"Enabled","Habilitado"
"Payment Method Title","Título da Forma de Pagamento"
"Credit Cards Accepted","Cartões de Crédito Aceitos"
"Enviroment","Ambiente"
"Integration Token","Token de Integração"
"Seller Email","E-mail do Vendedor"
"Enable Receipt of Notifications","Habilitar Recebimento de Notificações"
"Enable Installments","Ativar Parcelamento"
"Enable Prototype Validation for Fields","Validar Campos com Prototype"
"Reduce Form for Customized Checkout","Reduzir Formulário para Checkout Personalizado"
"Production","Produção"
"Sandbox","Sandbox"
"Some error has occurred when trying to place your order.","Ocorreu um erro ao tentar criar o seu pedido."
"The errors are described right below:","Os erros estão descritos logo abaixo:"
"Code: %s - Description: %s","Código: %s - Descrição: %s"
"Please correct any information if needed and try again or contact us for help.","Por favor, corrija qualquer informação que seja necessária e tente novamente ou entre em contato conosco para que possamos lhe ajudar."
"Error Message Prefix","Prefixo da Mensagem de Erro"
"Error Message Sufix","Sufixo da Mensagem de Erro"
"Transaction URL Type","Tipo de Dados da Transação"
"Name on the Card: %s","Nome no Cartão: %s"
"Credit Card Type: %s","Bandeira do Cartão: %s"
"Credit Card Number: xxxx-%s","Número do Cartão: xxxx-%s"
"Expiration Date: %s/%s","Validade do Cartão: %s/%s"
"Installments: %s","Parcelas: %s"
"Transaction Code: %s","Código da Transação: %s"
"Bank Billet","Boleto Bancário"
"Bank Transfer","Transferência Bancária"
"Stop Checkout Order When the Transaction is Canceled by BCash!","Manter o Cliente no Checkout Quando a Transação for Cancelada pelo BCash!"
"When the customer is checking out an order and BCash cancels it for any reason, this option avoid the order to be placed and keeps the customer in the checkout.","Quando o cliente finaliza o pedido e o BCash cancela a transação por algum motivo, esta opção evita que o pedido seja concluído e mantém o cliente no checkout."
"Message to be Shown to Customer","Mensagem a ser Mostrada para o Cliente"
"Your payment was refused. Please try again selecting another payment method.","O pagamento foi recusado. Por favor, tente novamente selecionando outro método de pagamento."
"Your transaction ID in BCash is: %s.","O ID da sua transação no BCash é: %s."
